siren,raison_sociale,secteur_naf,secteur_libelle,effectif_estime,effectif_min,effectif_max,obligation_beges,beges_publie,beges_valide,beges_decret_2022_compliant,contact_telephone,contact_email,contact_linkedin,statut
100000000,Entreprise 00000 SAS,N,Services administratifs et soutien,1002,1000,1999,True,True,True,True,False,False,True,sourced
100000001,Entreprise 00001 SAS,F,Construction,128,100,199,False,False,,,False,False,True,sourced
100000002,Entreprise 00002 SAS,C,Industrie manufacturière,206,200,249,False,False,,,True,True,True,sourced
100000003,Entreprise 00003 SAS,M,Activités spé. scientifiques/techniques,11,10,19,False,False,,,True,False,True,qualified
100000004,Entreprise 00004 SAS,G,"Commerce, réparation auto",33,20,49,False,False,,,False,False,True,contacted
100000005,Entreprise 00005 SAS,G,"Commerce, réparation auto",13,10,19,False,False,,,False,False,False,sourced
100000006,Entreprise 00006 SAS,C,Industrie manufacturière,4,3,5,False,False,,,False,False,True,sourced
100000007,Entreprise 00007 SAS,F,Construction,2,1,2,False,False,,,False,True,False,sourced
100000008,Entreprise 00008 SAS,Q,Santé humaine et action sociale,3,3,5,False,False,,,False,True,False,qualified
100000009,Entreprise 00009 SAS,M,Activités spé. scientifiques/techniques,581,500,999,True,False,,,False,False,True,sourced
100000010,Entreprise 00010 SAS,F,Construction,8,6,9,False,False,,,True,True,True,sourced
100000011,Entreprise 00011 SAS,G,"Commerce, réparation auto",10,10,19,False,False,,,True,False,True,qualified
100000012,Entreprise 00012 SAS,K,Activités financières et assurance,25,20,49,False,False,,,False,False,False,sourced
100000013,Entreprise 00013 SAS,H,Transports et entreposage,6,6,9,False,False,,,False,False,True,qualified
100000014,Entreprise 00014 SAS,M,Activités spé. scientifiques/techniques,67,50,99,False,False,,,False,False,True,sourced
100000015,Entreprise 00015 SAS,N,Services administratifs et soutien,29,20,49,False,False,,,False,False,False,contacted
100000016,Entreprise 00016 SAS,S,Autres services,59,50,99,False,False,,,True,False,True,sourced
100000017,Entreprise 00017 SAS,C,Industrie manufacturière,14,10,19,False,False,,,False,True,True,sourced
